@relation D4FNS_00
@attribute A numeric
@attribute B numeric
@attribute class {0,1}






@data
3.345,58.471,1
15.373,29.183,0
86.031,26.593,1
62.975,10.996,1
65.382,56.857,0
26.138,65.37,1
27.339,27.44,0
65.312,38.922,1
5.2587,54.712,1
43.036,3.7845,0
2.4268,61.069,1
49.943,50.205,1
80.795,27.629,1
92.518,95.126,0
26.722,62.63,1
43.943,97.339,1
76.401,97.073,0
24.138,54.489,1
12.864,13.737,0
20.875,74.211,1
29.732,85.108,1
6.4641,14.51,0
93.996,20.488,1
42.132,38.211,0
71.976,99.192,0
91.442,17.924,1
71.565,58.046,0
52.16,1.8049,1
18.119,27.421,0
57.669,12.775,1
49.015,64.637,1
2.5412,7.8938,0
59.335,83.712,0
57.392,52.784,0
36.358,20.229,0
77.23,30.587,1
53.329,60.424,0
61.749,26.647,1
49.346,91.736,1
61.71,9.9774,1
10.205,61.289,1
60.853,71.581,0
44.002,79.21,1
38.274,73.339,1
23.349,37.534,0
76.807,11.634,1
55.738,24.056,1
2.473,79.506,1
6.0428,96.38,1
22.14,28.159,0
13.979,39.228,0
59.197,38.283,1
57.847,6.8223,1
14.391,86.428,1
95.498,57.901,0
27.143,87.733,1
26.024,39.585,0
8.6812,27.411,0
95.218,95.526,0
74.903,99.888,0
88.173,73.291,0
25.736,71.595,1
24.894,60.238,1
23.236,70.747,1
43.922,24.397,0
73.994,82.095,0
74.129,55.194,0
47.331,45.289,0
50.332,36.462,1
16.579,87.111,1
32.501,89.773,1
48.976,73.382,1
69.748,59.226,0
62.207,28.254,1
45.928,30.66,0
47.353,8.4882,0
5.9852,9.8904,0
15.029,50.135,1
37.552,26.766,0
28.392,71.693,1
60.82,18.589,1
29.429,56.576,1
2.6944,9.244,0
15.46,49.437,0
2.2326,22.933,0
4.715,54.318,1
11.709,13.769,0
79.78,19.952,1
84.653,57.537,0
90.511,42.563,1
86.608,13.53,1
15.052,2.9415,0
68.69,36.971,1
37.234,73.498,1
42.289,9.4943,0
96.389,60.967,0
33.898,64.968,1
89.748,16.223,1
58.147,57.248,0
40.623,92.057,1
23.421,57.223,1
34.981,20.538,0
43.782,91.924,1
49.658,31.061,0
42.401,60.465,1
7.0068,89.059,1
91.672,84.654,0
56.334,82.71,0
48.189,19.459,0
16.208,73.886,1
18.829,42.502,0
55.871,43.058,1
61.749,26.647,1
70.824,43.485,1
40.424,59.258,1
25.831,89.967,1
35.363,24.078,0
15.299,71.315,1
52.928,68.002,0
70.514,70.964,0
47.335,20.458,0
74.015,69.777,0
90.345,21.03,1
76.202,13.736,1
45.734,67.387,1
47.293,37.059,0
11.507,92.598,1
28.8,73.618,1
51.421,60.862,0
12.976,42.035,0
82.457,59.499,0
82.285,20.263,1
3.6292,35.582,0
71.202,76.991,0
79.695,92.575,0
92.906,3.1013,1
22.254,58.101,1
32.67,2.7436,0
11.624,29.904,0
36.451,67.253,1
0.14379,85.575,1
61.319,20.101,1
29.075,64.891,1
51.592,33.723,1
95.142,4.5651,1
36.157,31.263,0
38.077,72.53,1
56.368,29.176,1
8.0018,71.153,1
11.953,6.7159,0
29.853,81.54,1
98.645,35.078,1
24.946,0.76102,0
95.854,87.866,0
75.83,68.956,0
23.632,59.344,1
62.381,53.996,0
91.076,34.625,1
40.793,58.338,1
96.213,36.784,1
64.438,51.765,0
29.664,55.245,1
71.716,4.8829,1
63.767,33.095,1
68.003,46.993,1
93.925,61.481,0
72.214,24.234,1
4.4998,13.702,0
27.612,26.697,0
19.671,69.618,1
25.443,13.677,0
50.243,81.683,0
18.773,59.951,1
30.627,18.907,0
28.756,33.56,0
95.875,64.617,0
3.4776,23.034,0
81.663,52.126,0
95.867,80.26,0
17.411,84.433,1
39.424,21.456,0
6.7758,90.297,1
1.8265,3.897,0
22.714,26.811,0
72.523,65.24,0
11.039,11.179,0
64.927,69.239,0
59.982,24.087,1
34.857,59.281,1
92.757,48.047,1
40.424,59.258,1
3.4398,0.7298,0
67.878,30.929,1
86.012,38.197,1
78.087,16.59,1
4.7038,23.328,0
50.513,0.16425,1
37.802,10.013,0
93.022,13.161,1
37.205,94.617,1
6.4184,42.686,0
93.766,84.73,0
95.567,61.816,0
64.582,9.2238,1
82.651,73.774,0
9.8587,57.009,1
54.727,33.295,1
25.471,78.977,1
65.959,60.365,0
73.249,4.9417,1
61.706,38.94,1
96.945,44.478,1
49.608,85.367,1
37.609,74.019,1
8.3169,70.051,1
72.057,57.061,0
94.294,3.6214,1
48.349,48.975,0
28.113,56.283,1
53.504,85.476,0
90.138,97.508,0
60.522,80.594,0
67.397,6.7449,1
54.577,23.339,1
76.807,61.094,0
96.204,31.79,1
18.647,31.093,0
93.162,40.126,1
55.441,96.096,0
6.5361,35.765,0
42.073,68.495,1
39.765,51.051,1
79.858,9.4363,1
30.977,46.268,0
23.082,75.613,1
82.413,52.797,0
33.609,17.313,0
57.428,68.749,0
0.96195,97.236,1
56.819,82.946,0
6.4641,14.51,0
0.42352,23.214,0
96.07,1.2421,1
26.061,9.2368,0
68.326,74.054,0
22.453,11.803,0
43.782,91.924,1
81.164,58.574,0
42.313,25.033,0
69.524,87.904,0
11.343,67.486,1
87.509,33.87,1
15.808,73.658,1
86.409,59.655,0
19.228,26.604,0
8.1227,71.95,1
22.384,90.912,1
65.305,33.19,1
90.367,66.836,0
52.78,4.2024,1
85.71,30.506,1
74.358,51.214,0
9.4186,65.831,1
83.924,87.562,0
41.624,13.989,0
73.337,72.738,0
98.434,4.1604,1
47.512,22.194,0
64.412,33.939,1
17.91,86.234,1
5.2003,29.145,0
68.38,92.643,0
85.848,78.603,0
96.049,61.438,0
20.319,84.596,1
17.683,80.52,1
83.526,69.343,0
35.289,36.639,0
3.7608,6.2647,0
67.201,69.053,0
9.6323,31.678,0
85.958,90.347,0
19.33,90.314,1
72.066,93.437,0
0.06688,52.882,1
75.843,16.856,1
23.082,75.613,1
20.947,25.887,0
18.623,85.289,1
12.253,15.966,0
33.428,22.865,0
70.983,52.782,0
35.608,69.265,1
3.8129,79.445,1
82.651,73.774,0
40.9,47.92,0
93.903,69.702,0
66.267,87.167,0
9.9372,63.3,1
35.362,89.209,1
47.181,59.255,1
96.607,5.3781,1
10.395,5.516,0
53.333,89.681,0
81.928,98.425,0
24.946,0.76102,0
93.53,72.924,0
92.048,90.354,0
94.281,7.7634,1
68.603,13.915,1
84.998,17.984,1
62.344,66.401,0
67.512,20.581,1
77.715,71.389,0
42.22,89.632,1
4.7373,78.996,1
71.599,78.459,0
68.627,61.932,0
5.8057,87.347,1
5.293,46.551,0
32.001,39.715,0
16.451,72.989,1
7.8996,28.511,0
83.064,66.332,0
53.199,86.984,0
58.611,49.304,1
71.59,79.766,0
