@relation D4FNS_R20
@attribute A numeric
@attribute B numeric
@attribute class {0,1}






@data
59.536,53.907,0
74.622,65.261,0
95.604,84.093,0
87.138,19.873,1
6.4112,69.956,1
70.657,5.6754,1
71.953,20.726,1
91.808,92.357,0
39.439,35.127,0
39.805,78.163,0
33.663,91.661,1
76.085,15.361,1
33.158,63.93,1
52.868,17.775,0
70.787,51.045,1
49.867,38.038,0
71.225,88.147,0
57.009,77.611,0
68.549,46.8,1
57.21,32.481,1
25.109,53.891,1
15.011,57.726,1
7.597,81.629,1
77.962,29.508,1
15.271,89.823,1
98.289,26.377,1
77.367,32.824,1
88.082,79.409,0
17.793,31.157,0
30.175,51.125,1
62.114,18.894,1
79.809,22.451,1
35.174,1.6283,0
44.593,46.47,0
26.836,40.668,0
74.957,99.15,0
12.626,92.414,1
87.358,74.338,0
21.916,82.78,1
11.528,30.503,0
88.866,63.904,1
70.47,51.87,1
11.617,29.597,0
13.583,98.526,1
11.283,99.984,1
15.851,18.407,0
88.501,79.364,0
26.928,82.507,1
41.049,39.763,0
14.889,39.311,1
50.883,34.929,0
85.044,4.0982,1
91.388,42.252,1
70.857,47.178,1
46.089,33.917,0
50.425,5.2606,0
22.629,73.862,1
41.739,6.2604,0
57.969,9.1999,0
37.933,49.001,1
58.815,85.698,0
21.9,89.773,1
54.126,38.307,0
27.104,78.139,1
43.853,44.361,0
81.714,11.627,1
21.794,54.832,1
46.752,97.889,0
14.333,41.022,1
82.155,63.439,0
17.047,68.838,1
40.501,15.117,0
58.51,40.554,1
26.191,98.91,1
26.769,81.019,1
35.372,57.291,1
43.317,23.097,0
92.228,66.337,0
0.31576,42,1
82.15,79.612,0
18.134,37.065,0
96.245,64.604,1
99.708,64.142,1
5.217,52.783,1
66.142,64,0
28.515,66.641,1
83.766,96.822,0
10.088,60.889,1
96.846,85.976,0
37.86,66.574,1
52.764,26.809,0
95.376,63.074,1
38.431,7.5012,0
58.265,9.432,0
29.806,75.89,1
54.126,90.686,0
99.471,75.464,0
81.095,20.284,1
30.929,8.3239,0
24.646,19.392,0
